recommendationid,content,voted_up,votes_up,votes_funny,weighted_vote_score,playtime_at_review_min,playtime_forever_min,author_steamid,timestamp_created
215366739,분위기 타격감 재미 GOAT,1,0,0,0.5,3780,3789,76561197969123796,1767751622
215304843,나이스티비,1,0,0,0.5,1917,10678,76561199787202823,1767698815
215297227,똥손인데 개재밌음,1,0,0,0.5,4250,5001,76561198012305719,1767689833
215292261,너무 재밌네요 스토리 몰입감도 좋고 액션도 쩔고  다음시리즈 나오면 좋겠어요,1,0,0,0.5,2957,3861,76561198271035004,1767682639
215212156,이 게임은 일단 다크소울3보단 확실히 쉬움 초반에 게임이 익숙하지 않아서 좀 헤매다가 익숙해지면 조금 패턴보고 피하다 보면 다 깨기 쉬워서 후반에 갈수록 쉬워지는 느낌     스토리 부분도 충분히 이해하기 쉽고 재밌음    그래서 본인이 소울류를 좀 해봤고 다른 게임도 충분히 즐겼다 하면 추천할 것 같음   근데 본인이 소울류가 처음이다 하면 이 게임이 길 찾기가 너무 쉬워서 다른 게임을 먼저 하고 오라고 할 것 같음,1,0,0,0.5,1276,1276,76561199406685323,1767609876
215103352,"인생 살면서 소울류 처음 접해본 사람 입니다. 결과먼저 말씀 드리면 p의 거짓...진짜 정말 명작이네요.  난이도 하향 조절이 생겨서 한번 도전해보자, 라고 마음 먹었는데 어느덧 dlc 포함 3회차 달렸네요 ㅋㅋㅋㅋ 그래픽, 최적화, 스토리, 캐릭터 진짜 하나하나 다 맘에 들고 국내에 이런 훌륭한 소울류 게임이 나왔다는게 너무 감사합니다.",1,1,0,0.525862038135528564,4511,4664,76561199015243291,1767516317
215089353,늦게 합류했습니다  블러드본 느낌이 찐하게 나는게 매우 재밌게 하고있습니다,1,0,0,0.5,1341,4050,76561198354369488,1767500585
215083688,다크소울2인줄 알았는데 세키로였네,1,0,0,0.5,267,2486,76561198115248372,1767494958
215052312,재밌음 ㅎㅎ,1,0,0,0.5,1359,1875,76561198013060341,1767470336
215037051,"이젠 진짜 누구든지 즐겨볼 만한 작품이라고 생각해요. 난이도 기능도 있고, 맵도 거의 일직선 진행이라 미로마냥 빙빙돌지도 않고.. DLC 추가 이후에 편의성 패치는 맘에 들었어요. 아마도 전에는 직접 별바라기 가서 이거 렙업 되나? 체크해야 했는데, 이제는 그냥 다음 레벨 업까지 남은 에르고 필요량을 표시해주더라고요.  렙업창에서 에르고 파편들 바로 사용 가능한 건 덤으로요.  5/5 - 난이도 편의성 비주얼 전투 다 맘에 들어요.  피구라 2든 DLC 2든 정말 기대가 됩니다.",1,19,1,0.678593099117279053,3805,3805,76561198200667870,1767460115
215027528,이 게임엔 점프가 있다 11막에 박스 어떻게 먹냐 검색하다 점프로 먹으래서 알게 됨 근데 키가 불편해서 그 이후로 안 씀 점프가 있는데 맵을 돌아다닐 때조차 안써도 되는 액션게임이 이 게임임,1,0,0,0.5,1565,1565,76561198179934683,1767453612
215008070,할만 함  엔딩 보니까 DLC도 사야겠음,1,0,0,0.5,2597,4442,76561197968032450,1767437899
214938024,타격감은 소울1과 3의 중간 어디쯤의 느낌이다. 사용한 무기가 대검이라 그럴지도.  스토리는 꽤나 만족스럽다.  길이 간단한 편이라 만족스럽다. 원루트 전개지만 그렇다고 샛길탐색이 루즈하지는 않은..,1,0,0,0.495689630508422852,1151,1151,76561198326214843,1767375812
214914461,"할인 할 떄 게임 사놓고 매번 찍먹만 하다가 엔딩 못 봤던 게임이 수두룩 했습니다. 이번 게임은 엘든링 이후로 오랜만에 본 게임 엔딩이네요. 일주일 동안 하루에 한번 씩 플레이 하며 결국 엔딩 봤어요.    게임 내내 노래가 특히 좋았습니다.  챕터를 진행하며 얻은 음반을 하나 하나 재생할 때 마다 설렜던 기억이 있네요. 후반부에 숨겨진 음반이 많으니 이후에 플레이 하시는 분들은 후반에 꼼꼼히 플레이 하시 길. 놓친 음반은 자꾸 생각나더라고요 ㅋㅋ. 중간 중간 얻은 음반을 눈 감고 감상하며 힐링했습니다.    난이도는 사람마다 다르겠지만 저한텐 맛있게 어려웠습니다.  중간 중간 보스에 맞는 방어 아이템을 바꿔 끼고 무기를 강화하다 보면 난이도 조절이 되서 사람마다 선택할 수 있는 난이도의 폭이 넓은 느낌이였습니다. 조력자도 적당히 강했고요.    스토리는 깔끔했습니다. 적당한 어두움과 무게감 그리고 평소 그저 어릴 적 동화로 생각했던 피노키오라는 이야기를 재해석해. 기존 프롬소프트의 시스템을 가져오며 스토리에 알맞게 녹여내서 억지스럽지 않고 조화롭게 각 요소가 작용했습니다.     크레딧이 올라오고 현실로 훅 돌아온 느낌이라 얼떨떨하네요. 게임이 나온지 좀 됐지만 dlc까지 플레이 할 거 같습니다. 재밌게 잘 만들었네요. 소울류 특유의 복잡한 길 찾기가 없어서 좋았습니다. 스토리도 중간 중간 컷씬과 아이템, 캐릭터와의 대화로 자세히 풀어주어서 끝까지 몰입감을 가지고 플레이 할 수 있던 이유였습니다. 보통 몇 시간을 어려운 구간에서 트라이 하다보면 스토리는 머릿속에 없고 그저 보스와 기믹 트라이만 계속 하다가 흥미가 떨어져 후반까지 플레이 했다 해도 엔딩도 안 보고 접는 경우가 많았는데. 이 게임은 즐겁고 몰입감 있게 엔딩까지 잘 달렸습니다.     어느 것 하나 크게 특출나지는 않았지만 전체적으로 완성도가 좋았던 육각형 게임. dlc를 플레이하고 후속작이 나온다면 꼭 플레이 해보고 싶은 게임이였습니다",1,1,0,0.523809552192687988,2869,2869,76561199114057070,1767358668
214883524,소울라이크 처음 입문했는데 난이도 설정할수 있어서 아주 좋음!  완전 추천 갓겜!,1,0,0,0.5,3046,4438,76561199479585412,1767325887
214856681,그 어떤것도 견줄수없는 내 인생 소울게임  살면서 처음 도전과제 100% 찍고 이제 놓아주려 합니다 어렵다고 자꾸 찡찡대는 사람들은 그냥 소울류 자체를 하지마십쇼 괜히 평가절하 하지마시고... 원래 막막하고 욕나오고 짜증나면서도 끝내 꺠는 맛으로 하는것이 소울류게임들 입니다 무조건 하십쇼 어디 내놔도 안부끄러운 우리나라의 명작입니다,1,0,0,0.5,6433,6433,76561199830734271,1767302461
214744397,"국산 게임이라는 주관성을 배제하더라도 충분히 잘 만든 소울라이크 수작. 벨에로크 시대와 프랑스식 디자인, 피노키오를 모티브로 한 스토리, 자사작 DJMAX OST를 활용한 훌륭한 음악들..  다른 소울라이크와 비교해도 충분히 재밌고 합리적이며 상당히 계산적으로 만들진 티가 확실히 난다.  단점이라면 다른 소울라이크를 하고 뒤늦게 해서 그런지 상대적으로 난이도가 낮게 느껴지는 점, 그리고 경로가 선형적이고 분량이 다소 짧게 느껴지는데 있지만, 다회차를 좀 해보면 해당 리뷰가 바뀔 수도 있을 것 같다.  암튼 여기저기 굵직한 작품들을 만들어내는 NEOWIZ에게 박수~~!!",1,0,0,0.5,1057,3044,76561198120232545,1767195887
214723790,너무너무 재미있습니다,1,0,0,0.5,3158,3583,76561198901587336,1767176833
214691741,소울게임 할 때마다 어려워서 금방 때려치는데 피의 거짓은 난이도 조절 있어서 스트레스 덜 받으면서 할 수 있었음. 그리고 연출이랑 노래도 좋아서 스토리도 재미있게 봄.,1,0,0,0.5,942,942,76561199544345990,1767140791
214648860,한국게임GOAT,1,0,0,0.5,2000,2024,76561198964635196,1767107836
214640746,이 개발진들은 월급도 응가도 엇박으로 받고 싸라 크윽!!! 너무 어려워!!!,1,0,1,0.5,2019,2075,76561198044228370,1767101614
214550930,왜 태그에 공포가 없는지 제일 궁금한 작품이다 갑툭튀 있음,1,0,0,0.5,1794,1794,76561198807694705,1767021978
214341422,갓겜,1,0,0,0.5,7715,7739,76561198815636701,1766844635
214326174,이런 게임 잘 못하지만 뭐 온몸비틀기 해서 클리어합니다. ㅎ 전 스토리를 매우 중요하게 생각하고 또 좋아하는데 엘든링도 좋기는 했지만 피의거짓은 정말 좋았습니다. 뭐 유다희양이야 매번 만나지만 역시 스토리상 심금을 울리는 그 무언가가 여기에 있네요. DLC든 차기작이든 좋지만 이 이야기에 끝을 보고 싶습니다. 다음을 기대합니다.,1,0,0,0.5,11454,13111,76561198094367555,1766831574
214218250,.,1,0,0,0.5,103,103,76561199075044252,1766732390
